101	3494	10	58.5
102	2635	8	34.4
315	402	7	53.33
1195	110	4	13.38
395	308	3	17.38
157	109	19	14.3
3509	7867	4	80.87
102	923	7	12.07
2213	12	6	12.89
145	142	38	110.97
120	5691	6	53.73
1182	14	30	125.25
166	101	37	13.23
111	4392	6	45.37
472	107	4	5.35
946	139	5	25.76
108	1260	9	45.04
192	110	35	98.52
260	452	3	16.99
3147	240	3	29.1
1543	14	8	13.16
147	171	6	7.68
1391	122	3	11.52
2030	14	11	32.21
111	1816	5	23.43
108	365	9	19.18
255	21	4	9.51
1701	14	5	5.07
1298	101	22	108.41
279	14	22	4.43
273	890	3	22.05
6205	646	7	122.69
105	2725	4	18.27
102	4841	4	17.2
1086	137	10	68.62
544	218	10	79.1
1560	616	3	32.43
1401	104	6	18.78
101	4371	6	30.19
105	8064	3	20.72
4389	538	5	71.3
1224	9	18	144.25
180	2569	4	35.36
510	116	4	7.95
312	375	3	16.89
12	2237	16	73.97
792	102	6	7
801	110	3	5.98
3700	224	4	41.64
195	199	3	6.65
107	4767	3	16.71
146	323	9	35.61
142	1835	5	33.02
110	220	15	25.72
349	101	10	4.63
165	275	4	11.65
4225	12	4	11.02
4618	1047	4	60.92
112	1426	21	161.44
228	276	4	17.19
7479	12	3	10.56
197	152	8	20.14
1556	12	7	12.08
116	2049	5	26.81
843	161	33	344.02
107	1212	6	24.06
1718	148	3	17.32
1719	523	3	31.86
2957	2276	8	142.66
413	120	3	3.9
111	2361	13	101.56
2268	122	3	14.63
222	8	8	13.95
110	255	7	6.76
3146	109	4	21.35
113	258	12	23.72
2686	14	12	47.42
102	2353	3	5.95
1334	128	3	13.04
12	1110	10	17.55
11277	125	3	28.74
59	260	4	4.8
239	1020	3	21.55
85	106	25	18.87
4054	700	3	40.17
897	138	3	11.82
155	14148	3	37.97
172	3438	5	48.92
3015	14	5	10.39
974	103	4	5.31
192	128	40	177.61
107	1653	12	75.18
136	1325	4	21.4
323	237	4	19.53
2542	137	8	67.45
107	5901	4	27.39
2	205	11	12
111	959	4	11.69
1763	12	5	6.84
680	1364	4	45.36
106	630	8	24.89
1244	12	8	12.52
136	2278	15	149.61
227	184	3	7.19
4244	14	4	9.59
1308	148	3	15.66
342	141	3	5.57
105	1225	3	6.87
101	671	8	10.13
284	143	3	4.55
102	8208	4	24.35
482	718	3	25.4
105	1870	12	74.07
102	3238	5	18.05
3989	14	4	8.84
101	5289	3	10.58
581	16	3	6.15
104	213	82	286.55
157	129	13	17.25
102	2805	3	6.86
930	12	6	3.95
176	59	7	6.24
214	537	3	15.83
101	1291	7	16.05
105	2961	7	42.23
1434	161	6	45.74
101	6896	3	13.56
4230	114	3	17.06
720	12	8	5.27
178	1120	6	46.05
392	16	7	19.17
239	129	4	4.09
113	9731	3	25.29
115	12213	3	29.9
1264	166	3	18.24
246	815	24	274.37
279	1442	4	36.27
311	118	117	910.14
102	561	39	158.08
105	2766	3	11.86
824	113	3	6.58
153	150	9	11.6
123	143	14	8.95
1228	103	4	6.91
160	965	3	15.85
