214	717	5	8.76
1261	4400	9	115.37
397	180	8	7.68
303	5963	7	69.04
12908	12462	3	61.26
7644	2	3	8.39
2528	357	3	14.73
109	12151	3	12.55
14185	103	3	7.67
6256	146	3	10.17
59	3122	6	15.06
311	2108	3	12.09
13645	3138	3	46.25
101	1222	24	10.62
183	316	9	7.04
59	4607	5	15.21
157	4183	4	14.53
1087	954	4	24.45
1435	197	4	9.76
1438	846	3	17.26
355	146	19	15.64
2493	104	13	18.01
1597	663	3	16.18
419	111	39	31.27
955	250	4	9.69
12	3993	11	10.18
1299	182	4	7.92
131	1225	9	12.83
631	16	17	11.35
604	590	3	9.41
3518	183	3	11.31
361	170	9	7.56
123	7090	3	8.31
214	356	8	9.66
121	1023	14	16.61
16	268	42	16.3
85	1228	5	6.74
151	426	22	38.38
148	3830	3	7.06
244	12	189	19.92
846	467	3	10.07
780	381	3	7.95
1919	204	8	37.21
12506	119	3	14.5
240	4181	4	22.08
123	1262	26	92.93
577	917	4	18.02
12050	104	3	8.91
1055	328	5	19.06
387	1022	3	9.81
105	7955	4	10.18
4748	136	3	6.77
129	2772	5	9.34
3854	113	5	8.44
101	767	36	10.15
187	109	110	35.51
156	575	8	7.86
129	923	11	13.26
155	188	37	27.08
2866	8	6	13.64
218	1091	11	49.3
12	2526	15	7.26
183	3288	3	10.84
12	181	333	29.85
154	102	385	15.07
108	14563	3	12.47
3237	105	7	7.98
85	758	8	10.02
124	917	13	17.03
5412	148	3	9.68
124	2778	5	8.53
523	188	6	6.79
2885	6804	6	93.04
589	153	9	8
150	333	21	21.76
270	156	16	8.76
125	3895	7	22.94
755	444	6	25.78
394	501	5	14.08
461	162	19	41.56
364	2063	5	27.88
4159	6	3	24.09
158	2258	5	13.66
184	3134	3	10.17
105	2348	9	10.52
101	1902	19	15.91
666	483	3	8.52
158	416	10	7.2
103	4575	7	7.65
2007	107	8	7.22
7704	9	4	18.11
1402	117	19	50.04
479	259	9	23.4
2071	142	5	8.6
59	6303	3	8
141	9965	3	14.12
215	162	20	8.3
57	3653	6	17.67
4239	133	4	9.64
128	2335	9	23.37
954	4933	3	27.13
317	829	3	6.96
102	339	83	10.56
114	14841	3	13.16
7644	126	3	8.67
933	355	4	13.39
1989	323	3	12.27
83	12841	3	38.95
5861	1407	3	30.21
122	458	17	7.81
124	1814	13	37.35
723	109	24	25.64
274	1370	3	8.5
1325	117	9	7.31
2891	273	3	13.4
110	4912	6	14.52
477	1106	7	40.33
1148	5504	3	29.07
107	3927	6	10.12
168	261	22	25.32
10578	101	4	8.47
161	1116	7	14.7
466	126	16	7.83
105	10494	3	6.98
5000	143	3	7.91
591	366	4	9.92
4833	111	5	10.15
170	380	19	41.63
6534	5775	3	41.12
204	282	16	25.13
266	1246	3	7.89
235	157	21	11.04
231	3343	4	19.43
2657	170	4	13.4
263	164	15	8.14
39	2263	3	7.2
103	13007	3	7.67
14119	127	3	16.86
119	7625	4	12.07
1191	7537	6	80.07
12449	171	3	23.41
1850	435	3	14.56
164	3188	5	18.37
