0,1,2,3,4,0,1,2,3,4
Belgium,www.thomasmore.be,Sciences) (Erasmus+),English,Feb - June,Belgium,Universidade de Fortaleza,Business and Management,English,Feb - June
Belgium,Universidade de Fortaleza,Business and Management,English,Feb - June,Belgium,Universidade de Fortaleza,Business and Management,English,Aug - Dec
Belgium,Universidade de Fortaleza,Business and Management,English,Aug - Dec,Brazil,Universidade de Fortaleza,Double Degree for IM & SIM (Erasmus+,English,Aug - Dec
Brazil,Universidade de Fortaleza,Double Degree for IM & SIM (Erasmus+,English,Aug - Dec,Brazil,Universidade de Fortaleza,Double Degree for IM & SIM (Erasmus+,English,Feb - June
Brazil,Universidade de Fortaleza,Double Degree for IM & SIM (Erasmus+,English,Feb - June,Brazil,for DD)www.unifor.br,Double Degree for IM & SIM (Erasmus+,English,Feb - June
Brazil,for DD)www.unifor.br,Double Degree for IM & SIM (Erasmus+,English,Feb - June,Brazil,Universidade de  Ouro Preto,"Business & Economy, Tourism,",English,Aug - Dec
Brazil,Universidade de  Ouro Preto,"Business & Economy, Tourism,",English,Aug - Dec,Brazil,Universidade de  Ouro Preto,"Engineering, Health, Computer Science;",Portuguese,Aug - Dec
Brazil,Universidade de  Ouro Preto,"Engineering, Health, Computer Science;",Portuguese,Aug - Dec,Brazil,March - Julywww.caint.ufop.br,Media Technology,Portuguese,Aug - Dec
Brazil,March - Julywww.caint.ufop.br,Media Technology,Portuguese,Aug - Dec,Brazil,"Universidade Federal do Espírito Santo, Vitória",Media Technology,Portuguese,Aug - Dec
Brazil,"Universidade Federal do Espírito Santo, Vitória",Media Technology,Portuguese,Aug - Dec,Brazil,"Universidade Federal do Espírito Santo, Vitória",Electrical  & Mechanical Engineering,Portuguese,Aug - Dec
Brazil,"Universidade Federal do Espírito Santo, Vitória",Electrical  & Mechanical Engineering,Portuguese,Aug - Dec,Brazil,March - Julywww.ufes.br,Electrical  & Mechanical Engineering,Portuguese,Aug - Dec
Brazil,March - Julywww.ufes.br,Electrical  & Mechanical Engineering,Portuguese,Aug - Dec,Brazil,"Universidade Sagrado Coracao, Bauro/ Sao Paulo","Engineering, International Relations,",Portuguese,Aug - Dec
Brazil,"Universidade Sagrado Coracao, Bauro/ Sao Paulo","Engineering, International Relations,",Portuguese,Aug - Dec,Brazil,Jan - Junewww.usc.br,"Computing, Media Technology",Portuguese,Aug - Dec
Brazil,Jan - Junewww.usc.br,"Computing, Media Technology",Portuguese,Aug - Dec,Denmark,Jan - Junewww.usc.br,"Computing, Media Technology",Portuguese,Aug - Dec
Denmark,Jan - Junewww.usc.br,"Computing, Media Technology",Portuguese,Aug - Dec,Ecuador,Jan - Junewww.usc.br,"Computing, Media Technology",Portuguese,Aug - Dec
Ecuador,Jan - Junewww.usc.br,"Computing, Media Technology",Portuguese,Aug - Dec,Estonia,Jan - Junewww.usc.br,"Computing, Media Technology",Portuguese,Aug - Dec
Estonia,Jan - Junewww.usc.br,"Computing, Media Technology",Portuguese,Aug - Dec,Finland,Jan - Junewww.usc.br,"Computing, Media Technology",Portuguese,Aug - Dec
